number	value fitness deviation
  537,	77025.725,46513.663,8971.601


  538,	77025.725,44276.112,6750.959


  539,	77025.725,43650.722,6062.873


  540,	77025.725,43737.856,8600.091


  541,	77025.725,43969.696,7934.025


  542,	77025.725,45238.157,8480.102


  543,	77025.725,43892.416,8789.153


  544,	77025.725,43797.133,9997.177


  545,	77025.725,44668.610,8743.583


  546,	77025.725,47678.284,13169.704


  547,	77025.725,48833.320,12159.525


  548,	77025.725,49411.277,9722.547


  549,	77025.725,49220.498,11036.549


  550,	77025.725,46369.594,10202.972


  551,	77025.725,45875.500,8634.933


  552,	77025.725,47697.573,7170.909


  553,	77025.725,46645.846,7525.115


  554,	77025.725,45180.292,9319.868


  555,	77025.725,46845.111,9447.707


  556,	77025.725,48318.259,7165.471


  557,	77025.725,46519.332,6408.181


  558,	77025.725,45718.276,7278.413


  559,	77025.725,47540.593,7790.710


  560,	77025.725,45475.372,7500.414


  561,	77025.725,43249.674,7930.448


  562,	77025.725,42747.723,9396.376


  563,	77025.725,43447.727,9816.967


  564,	77829.751,44005.963,12570.160


  565,	77829.751,43747.619,13832.777


  566,	77829.751,44466.087,13560.675


  567,	77829.751,44967.311,10095.033


  568,	77829.751,43039.871,10236.236


  569,	77829.751,43712.645,11289.232


  570,	77829.751,43658.953,8328.916


  571,	77829.751,43313.834,7772.536


  572,	77829.751,42294.423,8454.416


  573,	77829.751,42441.954,8982.466


  574,	77829.751,43982.725,7352.898


  575,	77829.751,41785.758,7834.754


  576,	77829.751,41389.863,8354.473


  577,	77829.751,41296.757,6428.411


  578,	77829.751,39999.731,7261.788


  579,	77829.751,38214.253,8902.780


  580,	77829.751,39619.840,8262.231


  581,	77829.751,38566.970,9061.096


  582,	77829.751,39829.021,7593.767


  583,	77829.751,40591.104,8135.378


  584,	77829.751,38366.801,8589.062


  585,	77829.751,42233.488,9363.840


  586,	77829.751,40940.091,7618.880


  587,	77829.751,45068.327,8676.891


  588,	77829.751,44289.649,9584.376


  589,	77829.751,42923.147,9684.829


  590,	77829.751,44565.653,9401.810


  591,	77829.751,45488.463,11076.825


  592,	77829.751,44742.262,8837.260


