number	value fitness deviation
  555,	771918.271,46278.031,7034.107


  556,	771918.271,44831.201,6144.104


  557,	771918.271,44405.155,7458.089


  558,	771918.271,44341.454,8250.264


  559,	771918.271,43401.530,7625.377


  560,	771918.271,44886.737,7298.777


  561,	771918.271,43865.385,6880.261


  562,	771918.271,43455.165,5681.000


  563,	771918.271,41520.375,6589.416


  564,	771918.271,39060.815,7659.993


  565,	771918.271,38659.770,10100.801


  566,	771918.271,38457.770,10974.657


  567,	771918.271,40248.130,9758.050


  568,	771918.271,40973.692,8146.444


  569,	771918.271,40155.475,8394.771


  570,	771918.271,38548.190,9863.222


  571,	771918.271,39027.609,7990.609


  572,	771918.271,38663.519,11052.795


  573,	771918.271,40046.687,8561.400


  574,	771918.271,40521.304,8733.810


  575,	771918.271,41345.595,7004.419


  576,	771918.271,38606.563,6838.747


  577,	771918.271,41619.860,7995.178


  578,	771918.271,44802.235,8361.434


  579,	771918.271,43642.010,7727.876


  580,	771918.271,43912.218,8862.199


  581,	771918.271,46238.329,9834.023


  582,	771918.271,46743.303,9569.707


  583,	771918.271,49829.019,9345.188


  584,	771918.271,47865.096,9665.599


  585,	771918.271,47339.584,7477.176


  586,	771918.271,43761.611,7463.707


  587,	771918.271,44339.319,5781.891


  588,	771918.271,43737.994,7380.599


  589,	771918.271,43928.173,8315.574


  590,	771918.271,45141.724,7821.554


  591,	771918.271,44479.622,6684.189


  592,	771918.271,43884.331,8268.924


  593,	771918.271,41832.638,8824.305


  594,	771918.271,41042.029,7936.640


  595,	771918.271,39849.804,7394.504


  596,	771918.271,39643.766,7817.230


  597,	771918.271,40052.431,9577.036


  598,	771918.271,41096.839,9521.201


  599,	771918.271,40519.740,7843.158


  600,	771918.271,40192.385,7682.754


  601,	771918.271,39307.676,8612.746


  602,	771918.271,40699.893,7547.468


  603,	771918.271,39989.964,7390.764


  604,	771918.271,40619.576,8973.010


  605,	771918.271,40495.218,7553.248


  606,	771918.271,41232.027,8067.604


  607,	771918.271,41839.606,10475.077


  608,	771918.271,43668.084,9656.244


  609,	771918.271,45114.986,9493.399


  610,	771918.271,46272.860,9958.395


  611,	771918.271,44351.559,9751.095


  612,	771918.271,46131.699,8439.923


  613,	771918.271,44939.141,7871.515


  614,	771918.271,46508.782,8202.426


  615,	771918.271,42879.196,8136.274


  616,	771918.271,43874.878,8031.670


  617,	771918.271,43111.332,8838.481


  618,	771918.271,43743.120,8419.500


  619,	771918.271,44072.525,7089.866


  620,	771918.271,43859.338,7470.051


  621,	771918.271,45222.482,7252.383


  622,	771918.271,42266.111,7059.948


  623,	771918.271,43220.068,7976.489


  624,	771918.271,45358.312,7095.394


  625,	771918.271,43128.455,7766.523


  626,	771918.271,41987.402,7831.610


  627,	771918.271,44122.251,8144.131


  628,	771918.271,44782.630,8262.647


  629,	771918.271,43437.364,8039.850


  630,	771918.271,42100.966,8088.527


  631,	771918.271,41985.461,8128.621


  632,	771918.271,43171.939,9296.723


  633,	771918.271,43978.915,8688.904


  634,	771918.271,42332.756,7740.018


  635,	771918.271,40867.229,8548.639


  636,	771918.271,41078.489,7569.639


  637,	771918.271,41528.130,7923.652


  638,	771918.271,38765.643,8253.502


  639,	771918.271,40349.648,8542.527


  640,	771918.271,39963.204,6769.302


  641,	771918.271,41778.742,9553.514


  642,	771918.271,41885.593,10136.113


  643,	771918.271,43440.051,11008.060


  644,	771918.271,41502.611,7613.514


  645,	771918.271,41673.723,6836.402


  646,	771918.271,41477.911,9129.887


  647,	771918.271,42318.769,12226.792


  648,	771918.271,42531.468,10131.531


  649,	771918.271,43451.090,7271.196


  650,	771918.271,41987.982,8281.634


  651,	771918.271,42955.472,6456.590


  652,	771918.271,43652.396,7174.658


  653,	771918.271,44457.164,8227.714


  654,	771918.271,43050.952,7681.217


  655,	771918.271,45094.563,8567.865


  656,	771918.271,43978.563,11143.664


  657,	771918.271,44351.534,10330.773


  658,	771918.271,43917.430,10299.736


  659,	771918.271,45644.880,11947.019


  660,	771918.271,45512.551,9755.695


  661,	771918.271,44110.114,8239.054


  662,	771918.271,43407.911,8991.350


  663,	771918.271,44705.188,11272.710


  664,	771918.271,43736.219,9898.888


